platform,appId,title,summary,developer,developerEmail,developerWebsite,privacyPolicy,genre,genreId,contentRating,contentRatingDescription,free,price,priceText,currency,offersIAP,IAPRange,installs,minInstalls,score,ratings,reviews,released,version,androidVersion,adSupported,url,app_type,app_type_rationale,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
android,caitty.com.aiboyfriend,AI Boyfriend,AI Chat &amp; Virtual Companion,Caitty,support@caitty.com,https://caitty.com/ai-boyfriend-app/,https://caitty.com/ai-boyfriend-app/privacy,Social,SOCIAL,Everyone,,True,0,Free,USD,True,$0.99 - $59.99 per item,0+,0,0,0,0,"Apr 5, 2026",1.4,8.0,True,https://play.google.com/store/apps/details?id=caitty.com.aiboyfriend&hl=en&gl=us,companion,"companion signals dominant: comp=2,gen=0,task=0",Likely — manual verification needed,https://caitty.com/ai-boyfriend-app/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,ad-free experience,$0.99 - $59.99 per item (in-app purchase range; monthly tier not specified in Play metadata),"de, en, es, fr, hi, it, ja, ko, nl, pt, ru, zh"
android,com.runwayer.ameo,Boyfi - AI Partner & Boyfriend,Conversation Chat with Your BF,Runwayer Group,km@runwayer.com,,https://1drv.ms/w/c/574b1a89576d7f5b/EVt_bVeJGksggFdwAAAAAAABVmqqajQp3NYhgbzlo70VwA?e=Ngf1Uk,Entertainment,ENTERTAINMENT,Teen,Suggestive Themes,True,0,Free,USD,True,$4.99 - $54.99 per item,"10,000+",10000,3.960396,1048,45,"Nov 8, 2024",5.2.1,6.0,False,https://play.google.com/store/apps/details?id=com.runwayer.ameo&hl=en&gl=us,companion,"companion signals dominant: comp=4,gen=0,task=0",UNKNOWN - requires manual verification,,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$4.99 - $54.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.iosappv2.ai_boyfriend_chat,MyMate: AI Boyfriend Chat,AI Boyfriend &amp; virtual companion for calm and supportive conversations.,We Agency,hello@heylove.app,http://heylove.app/,https://sites.google.com/view/mymateapp,Lifestyle,LIFESTYLE,Everyone,,True,0,Free,USD,True,$2.99 - $29.99 per item,"1,000+",1000,,,,"Dec 21, 2025",1.1.0,8.0,False,https://play.google.com/store/apps/details?id=com.iosappv2.ai_boyfriend_chat&hl=en&gl=us,companion,"companion signals dominant: comp=5,gen=0,task=0",Likely — manual verification needed,http://heylove.app/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$2.99 - $29.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,ai.character.app,"Character AI: Chat, Talk, Text","Super-intelligent AI chat bots that hear you, understand you, and remember you.",Character.AI,support@character.ai,https://character.ai/,https://policies.character.ai/privacy,Entertainment,ENTERTAINMENT,Teen,Diverse Content: Discretion Advised,True,0,Free,USD,True,$0.99 - $94.99 per item,"50,000,000+",50000000,2.7261338,2198529,74436,"May 22, 2023",1.15.6,7.0,True,https://play.google.com/store/apps/details?id=ai.character.app&hl=en&gl=us,companion,"companion signals dominant: comp=2,gen=1,task=0",UNKNOWN - requires manual verification,https://character.ai/,True,"Google, Apple, Email",False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,voice calls,$0.99 - $94.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,love.boyfriendsimulator.app,Boyfriend Ai,Boyfriend Simulator,WhatsGood,bfai@whatsgoodapps.com,,https://www.whatsgoodapps.com/pp-bf-sim/,Entertainment,ENTERTAINMENT,Mature 17+,Sexual Themes,True,0,Free,USD,True,$12.99 - $19.99 per item,0+,0,,,,"Apr 6, 2026",1.2,7.0,False,https://play.google.com/store/apps/details?id=love.boyfriendsimulator.app&hl=en&gl=us,companion,"companion signals dominant: comp=2,gen=0,task=0",UNKNOWN - requires manual verification,,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$12.99 - $19.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.perfect.boyai,HalFind-My Perfect Boy,"Chat with your perfect AI boy, create your love story through text,voice&amp;images.",FineTip Apps,aqsaholic@gmail.com,https://www.halfind.top/,https://www.halfind.top/privacy-policy.html,Entertainment,ENTERTAINMENT,Mature 17+,,True,0,Free,USD,True,$4.49 - $104.99 per item,"100,000+",100000,4.597701,5199,543,"Sep 29, 2025",1.0.5,7.0,True,https://play.google.com/store/apps/details?id=com.perfect.boyai&hl=en&gl=us,companion,"companion signals dominant: comp=3,gen=0,task=1",UNKNOWN - requires manual verification,https://www.halfind.top/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$4.49 - $104.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.deeplove.ai,DeepLove AI：Dream AI Love Chat,"Roleplay with AI character &amp; Boyfriend, Voice Chat with AI Chatbot",Onesoft Technology Limited,dxhong1230@gmail.com,https://www.soulmateapp.net/,https://www.deeploveai.net/privacy,Entertainment,ENTERTAINMENT,Everyone,,True,0,Free,USD,True,$1.99 - $29.99 per item,"100,000+",100000,4.366337,2644,105,"May 26, 2025",1.1.7,6.0,False,https://play.google.com/store/apps/details?id=com.deeplove.ai&hl=en&gl=us,companion,"companion signals dominant: comp=3,gen=0,task=1",False,https://www.soulmateapp.net/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,voice calls; extended memory,$1.99 - $29.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.luminalabs.luvbae,AI Boyfriend - LuvBae,"Find your perfect AI Boyfriend. Chat, flirt, and form a deep, lasting connection",Lumina Labs,mahadshah8084101@gmail.com,https://n2720fd66.app-ads-txt.com,https://docs.google.com/document/d/18MTzUv1cPM8Gx5lgWw9H7yVcriqklakBVr0nniNm5ko/edit?usp=sharing,Entertainment,ENTERTAINMENT,Everyone,,True,0,Free,USD,True,$2.99 - $59.99 per item,500+,500,0,0,0,"Dec 13, 2025",3.0,8.0,True,https://play.google.com/store/apps/details?id=com.luminalabs.luvbae&hl=en&gl=us,companion,"companion signals dominant: comp=7,gen=0,task=0",Likely — manual verification needed,https://n2720fd66.app-ads-txt.com,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,True,False,unlimited messaging; priority access; extended memory,$2.99 - $59.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.ai.gf.bf,AI Girlfriend and Boyfriend,Create the partner you've always imagined,Bytes Arena,bytesarenaai@gmail.com,https://bytesarena.com/,https://bytesarena.com/Ai-Girlfriend-And-Boyfriend-privacy-policy.html,Photography,PHOTOGRAPHY,Everyone,,True,0,Free,USD,False,,"1,000+",1000,0,0,0,"Nov 27, 2025",1.0.19,7.0,False,https://play.google.com/store/apps/details?id=com.ai.gf.bf&hl=en&gl=us,companion,"companion signals dominant: comp=2,gen=0,task=0",Likely — manual verification needed,https://bytesarena.com/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,False,True,No subscription (no IAP offered),No in-app purchases (likely free),UNKNOWN - requires manual verification
android,com.kindroid.app,Kindroid: Your Personal AI,Discover an AI that truly understands you.,Kindroid,hello@kindroid.ai,https://kindroid.ai,https://kindroid.ai/legal,Entertainment,ENTERTAINMENT,Mature 17+,Sexual Themes,True,0,Free,USD,True,$3.49 - $149.99 per item,"1,000,000+",1000000,4.514159,21460,2079,"Jul 28, 2023",1.54,6.0,False,https://play.google.com/store/apps/details?id=com.kindroid.app&hl=en&gl=us,companion,"companion signals dominant: comp=4,gen=0,task=1",Likely — manual verification needed,https://kindroid.ai,UNKNOWN - requires manual verification,Discord,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,voice calls,$3.49 - $149.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,james.british.ai.boyfriend.virtual.dating.lover.relationship.bf.romance.companion,James: British AI Boyfriend,"Have a romantic chat with James, your British AI Boyfriend, and dating partner",Jani Infotech,janiinfotech.contact@gmail.com,https://janiinfotechapps.blogspot.com/,https://sites.google.com/view/janiinfotech-privacy-policy/home,Entertainment,ENTERTAINMENT,Teen,Suggestive Themes,True,0,Free,USD,False,,"10,000+",10000,4.362069,479,24,"Nov 12, 2024",1.0.2,6.0,True,https://play.google.com/store/apps/details?id=james.british.ai.boyfriend.virtual.dating.lover.relationship.bf.romance.companion&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=0",UNKNOWN - requires manual verification,https://janiinfotechapps.blogspot.com/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Teen); in-app not verified,False,True,No subscription (no IAP offered),No in-app purchases (likely free),UNKNOWN - requires manual verification
android,ai.replika.app,Replika: My AI Friend,Replika is the AI to do life with.,"Luka, Inc",my@replika.ai,https://replika.ai,https://replika.ai/privacy,Health & Fitness,HEALTH_AND_FITNESS,Teen,Diverse Content: Discretion Advised,True,0,Free,USD,True,$0.99 - $299.99 per item,"10,000,000+",10000000,4.27981,523478,80072,"Sep 8, 2017",12.7.2,9,False,https://play.google.com/store/apps/details?id=ai.replika.app&hl=en&gl=us,companion,"companion signals dominant: comp=2,gen=0,task=0",Likely — manual verification needed,https://replika.ai,True,Facebook,False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,voice calls; image generation,$0.99 - $299.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.testa.boybot,Virtual Boyfriend: AI Romance,Create your dream boyfriend and immerse yourself in a passionate romance story!,RoboBot Studio,info@robobotstudio.com,http://www.robobotstudio.com/,https://www.robobotstudio.com/privacy-policy.html,Entertainment,ENTERTAINMENT,Everyone,Comic Mischief,True,0,Free,USD,True,$0.99 - $44.99 per item,"500,000+",500000,3.94,6811,133,"Feb 10, 2018",2.0.18,7.0,True,https://play.google.com/store/apps/details?id=com.testa.boybot&hl=en&gl=us,companion,"companion signals dominant: comp=4,gen=1,task=0",False,http://www.robobotstudio.com/,UNKNOWN - requires manual verification,Facebook,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$0.99 - $44.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,ai.nomi.twa,Nomi: AI Companion with a Soul,Meet emotionally intelligent and creative AI companions with human memory.,Nomi.ai,support@nomi.ai,https://beta.nomi.ai,https://beta.nomi.ai/privacy-policy/,Lifestyle,LIFESTYLE,Teen,Diverse Content: Discretion Advised,True,0,Free,USD,True,$4.99 - $99.99 per item,"100,000+",100000,4.2285714,4709,659,"Jul 7, 2023",1.11.1,8.0,False,https://play.google.com/store/apps/details?id=ai.nomi.twa&hl=en&gl=us,companion,"companion signals dominant: comp=4,gen=0,task=0",False,https://beta.nomi.ai,UNKNOWN - requires manual verification,Apple,False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,extended memory,$4.99 - $99.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,french.ai.boyfriend.bf.romantic.virtual.dating.lover.relationship.companion,Éloi: French AI Boyfriend,Feeling lonely? Need a dating partner? Download Éloi: French AI Boyfriend &amp; Chat,Jani Infotech,janiinfotech.contact@gmail.com,https://janiinfotechapps.blogspot.com/,https://sites.google.com/view/janiinfotech-privacy-policy/home,Entertainment,ENTERTAINMENT,Mature 17+,"Sexual Themes, Strong Language",True,0,Free,USD,False,,"1,000+",1000,4.6666665,48,3,"Dec 31, 2024",1.0.3,6.0,True,https://play.google.com/store/apps/details?id=french.ai.boyfriend.bf.romantic.virtual.dating.lover.relationship.companion&hl=en&gl=us,companion,"companion signals dominant: comp=7,gen=0,task=0",UNKNOWN - requires manual verification,https://janiinfotechapps.blogspot.com/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,False,True,No subscription (no IAP offered),No in-app purchases (likely free),UNKNOWN - requires manual verification
android,com.castlepumpkin.jaxi,Jaxi - AI Boyfriend Chat,Chat with 8 AI boyfriend companions — your virtual friends are always here,castlepumpkin,elrqleldh@gmail.com,https://castlepumpkin.blogspot.com/,https://immediate-snowflake-c47.notion.site/Jaxi-Privacy-Policy-f83e64920ac049fca3830414bf039fa2?pvs=4,Entertainment,ENTERTAINMENT,Teen,Diverse Content: Discretion Advised,True,0,Free,USD,True,$7.99 - $89.99 per item,"10,000+",10000,4.2941175,307,5,"Sep 24, 2024",1.0.7,6.0,True,https://play.google.com/store/apps/details?id=com.castlepumpkin.jaxi&hl=en&gl=us,companion,"companion signals dominant: comp=3,gen=0,task=0",UNKNOWN - requires manual verification,https://castlepumpkin.blogspot.com/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,ad-free experience,$7.99 - $89.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,weappico.husby,Husby: AI Partner & AI BF Chat,Dating a virtual boyfriend simulator. Talk to your AI partner in the AI BF chat.,Weappico Limited,info@weappico.com,,https://doc-hosting.flycricket.io/husby-privacy-policy/d2a77237-686d-411a-be9b-1b9b15978ae2/privacy,Entertainment,ENTERTAINMENT,Mature 17+,Sexual Themes,True,0,Free,USD,True,$7.49 - $99.99 per item,"100,000+",100000,4.40566,11263,141,"Mar 31, 2025",1.3.6,8.0,False,https://play.google.com/store/apps/details?id=weappico.husby&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=1",UNKNOWN - requires manual verification,,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$7.49 - $99.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.aigc.ushow.ichat,"Linky AI: Chat, Play, Connect","Create your personal AI chatbot: talk, roleplay, and connect with characters!",Skywork AI Pte. Ltd.,support@linke.ai,https://api.linke.ai/,https://support.linke.ai/privacy-policy,Social,SOCIAL,Mature 17+,,True,0,Free,USD,True,$0.49 - $269.99 per item,"10,000,000+",10000000,4.0231466,128484,15059,"Jul 3, 2023",3.19.0,7.0,True,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=1",UNKNOWN - requires manual verification,https://api.linke.ai/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$0.49 - $269.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,ai.onspace.app,Crushie Al: Romance AI Chat,"Immersive experience with AI characters, visual storytelling, and roleplay",Qianfan Hong Kong Limited,contact@crushie.ai,https://www.crushie.ai,https://www.crushie.ai/privacy-policy,Entertainment,ENTERTAINMENT,Everyone,,True,0,Free,USD,True,$0.99 - $109.99 per item,"100,000+",100000,4.46789,1147,114,"Feb 24, 2025",2.1.2,7.0,False,https://play.google.com/store/apps/details?id=ai.onspace.app&hl=en&gl=us,companion,"companion signals dominant: comp=7,gen=0,task=0",UNKNOWN - requires manual verification,https://www.crushie.ai,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,extended memory,$0.99 - $109.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.happyapplab.boyfriendai,Boyfriend AI: Find True Love,AI Love &amp; Relationship App. Find true love in seconds.,Happy App Lab,happyapplab@gmail.com,http://happyapplab.berkekurnaz.com,https://berkekurnaz.com/privacy.html,Dating,DATING,Everyone,,True,0,Free,USD,True,$1.99 - $6.99 per item,"5,000+",5000,2.7142856,25,5,"Jul 6, 2024",2.1.2,6.0,True,https://play.google.com/store/apps/details?id=com.happyapplab.boyfriendai&hl=en&gl=us,companion,"weak companion signal only: comp=1,gen=0,task=0",True,http://happyapplab.berkekurnaz.com,UNKNOWN - requires manual verification,Email,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$1.99 - $6.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
